,Title,Worldwide,Domestic,Foreign,Year
1876,True Love,"$1,354,268","$1,354,268",-,1989
1877,The Navigator: A Medieval Odyssey,"$1,333,379","$1,333,379",-,1989
1878,Romero,"$1,316,495","$1,316,495",-,1989
1879,Babar: The Movie,"$1,305,187","$1,305,187",-,1989
1880,Apartment Zero,"$1,267,578","$1,267,578",-,1989
1881,Little Vera,"$1,262,598","$1,262,598",-,1989
1882,Queen of Hearts,"$1,236,844","$1,236,844",-,1989
1883,High Hopes,"$1,192,322","$1,192,322",-,1989
1884,Murmur of the Heart,"$1,160,784","$1,160,784",-,1989
1885,Miracle Mile,"$1,145,404","$1,145,404",-,1989
1886,Valmont,"$1,132,112","$1,132,112",-,1989
1887,Heathers,"$1,108,462","$1,108,462",-,1989
1888,Heart of Dixie,"$1,097,333","$1,097,333",-,1989
1889,Wired,"$1,089,000","$1,089,000",-,1989
1890,The Music Teacher,"$1,086,894","$1,086,894",-,1989
1891,Welcome Home,"$1,029,822","$1,029,822",-,1989
1892,Pumpkinhead 1989 Re-release,"$1,000,000","$1,000,000",-,1989
1893,Getting It Right,"$960,385","$960,385",-,1989
1894,American Ninja 3: Blood Hunt,"$902,152","$902,152",-,1989
1895,Parents,"$870,532","$870,532",-,1989
1896,Crack House,"$862,551","$862,551",-,1989
1897,The Terror Within,"$858,591","$858,591",-,1989
1898,Little Monsters,"$793,775","$793,775",-,1989
1899,The Toxic Avenger Part II,"$792,966","$792,966",-,1989
1900,For All Mankind,"$770,132","$770,132",-,1989
1901,The Girl in a Swing,"$747,013","$747,013",-,1989
1902,Vampire's Kiss,"$725,131","$725,131",-,1989
1903,"Distant Voices, Still Lives","$688,329","$688,329",-,1989
1904,Wuthering Heights,"$624,643","$624,643",-,1989
1905,The Wizard of Oz 1989 Re-release,"$612,300","$612,300",-,1989
1906,Eddie and the Cruisers II: Eddie Lives!,"$536,508","$536,508",-,1989
1907,"Thelonious Monk: Straight, No Chaser","$518,918","$518,918",-,1989
1908,Slaves of New York,"$463,972","$463,972",-,1989
1909,The Rainbow,"$444,055","$444,055",-,1989
1910,Akira,"$439,162","$439,162",-,1989
1911,How to Get Ahead in Advertising,"$418,053","$418,053",-,1989
1912,Triumph of the Spirit,"$408,839","$408,839",-,1989
1913,The Toxic Avenger Part III: The Last Temptation of Toxie,"$363,561","$363,561",-,1989
1914,Night Game,"$337,812","$337,812",-,1989
1915,Crusoe,"$315,421","$315,421",-,1989
1916,Out Cold,"$294,266","$294,266",-,1989
1917,Powwow Highway,"$283,747","$283,747",-,1989
1918,Kill Me Again,"$283,694","$283,694",-,1989
1919,Heavy Petting,"$272,371","$272,371",-,1989
1920,Paperhouse,"$241,278","$241,278",-,1989
1921,Weapons of the Spirit,"$232,981","$232,981",-,1989
1922,A Chorus of Disapproval,"$216,373","$216,373",-,1989
1923,The Rachel Papers,"$201,468","$201,468",-,1989
1924,The Return of Swamp Thing,"$192,816","$192,816",-,1989
1925,Beverly Hills Brats,"$192,561","$192,561",-,1989
1926,For Queen & Country,"$191,051","$191,051",-,1989
1927,The Experts,"$169,203","$169,203",-,1989
1928,Night Visitor,"$166,635","$166,635",-,1989
1929,Under the Boardwalk,"$147,542","$147,542",-,1989
1930,The Big Picture,"$117,463","$117,463",-,1989
1931,Race for Glory,"$100,326","$100,326",-,1989
1932,Signs of Life,"$95,836","$95,836",-,1989
1933,Mind Games,"$85,085","$85,085",-,1989
1934,Hanussen,"$82,635","$82,635",-,1989
1935,Me and Him,"$78,814","$78,814",-,1989
1936,After Midnight,"$76,325","$76,325",-,1989
1937,"Bert Rigby, You're a Fool","$75,868","$75,868",-,1989
1938,When the Whales Came,"$73,131","$73,131",-,1989
1939,Manifesto,"$70,060","$70,060",-,1989
1940,Under the Sun of Satan,"$68,765","$68,765",-,1989
1941,Cohen and Tate,"$64,227","$64,227",-,1989
1942,Survival Quest,"$62,683","$62,683",-,1989
1943,Rachel River,"$60,698","$60,698",-,1989
1944,Ten Little Indians,"$59,405","$59,405",-,1989
1945,"Fear, Anxiety & Depression","$47,148","$47,148",-,1989
1946,Bloodhounds of Broadway,"$43,671","$43,671",-,1989
1947,Animal Behavior,"$41,526","$41,526",-,1989
1948,New Year's Day,"$36,106","$36,106",-,1989
1949,Checking Out,"$30,877","$30,877",-,1989
1950,Teen Witch,"$27,843","$27,843",-,1989
1951,Echoes of Paradise,"$23,717","$23,717",-,1989
1952,Blood Red,"$15,510","$15,510",-,1989
1953,The Time Guardian,"$12,682","$12,682",-,1989
1954,Far from Home,"$11,859","$11,859",-,1989
1955,High Stakes,"$4,780","$4,780",-,1989
1956,Hit List,"$4,564","$4,564",-,1989
1957,Catch Me If You Can,"$3,686","$3,686",-,1989
1958,Ghost,"$505,702,588","$217,631,306","$288,071,282",1990
1959,Home Alone,"$476,684,675","$285,761,243","$190,923,432",1990
1960,Pretty Woman,"$463,406,268","$178,406,268","$285,000,000",1990
1961,Dances with Wolves,"$424,208,848","$184,208,848","$240,000,000",1990
1962,Total Recall,"$261,299,840","$119,394,840","$141,905,000",1990
1963,Back to the Future Part III,"$244,527,583","$87,727,583","$156,800,000",1990
1964,Die Hard 2,"$240,031,094","$117,540,947","$122,490,147",1990
1965,Presumed Innocent,"$221,303,188","$86,303,188","$135,000,000",1990
1966,Teenage Mutant Ninja Turtles,"$201,965,915","$135,265,915","$66,700,000",1990
1967,Kindergarten Cop,"$201,957,688","$91,457,688","$110,500,000",1990
1968,The Hunt for Red October,"$200,512,643","$122,012,643","$78,500,000",1990
1969,Dick Tracy,"$162,738,726","$103,738,726","$59,000,000",1990
1970,Days of Thunder,"$157,920,733","$82,670,733","$75,250,000",1990
1971,Another 48 Hrs.,"$153,518,974","$80,818,974","$72,700,000",1990
1972,Bird on a Wire,"$138,697,012","$70,978,012","$67,719,000",1990
1973,The Godfather: Part III,"$136,766,062","$66,666,062","$70,100,000",1990
1974,Rocky V,"$119,946,358","$40,946,358","$79,000,000",1990
1975,Edward Scissorhands,"$86,024,005","$56,362,352","$29,661,653",1990
1976,Problem Child,"$72,270,891","$53,470,891","$18,800,000",1990
1977,Three Men and a Little Lady,"$71,609,321","$71,609,321",-,1990
1978,Flatliners,"$61,489,265","$61,489,265",-,1990
1979,Misery,"$61,276,872","$61,276,872",-,1990
1980,Marked for Death,"$57,968,936","$46,044,396","$11,924,540",1990
1981,Predator 2,"$57,120,318","$30,669,413","$26,450,905",1990
1982,Arachnophobia,"$53,208,180","$53,208,180",-,1990
1983,Awakenings,"$52,096,475","$52,096,475",-,1990
1984,Darkman,"$48,878,502","$33,878,502","$15,000,000",1990
1985,Look Who's Talking Too,"$47,789,074","$47,789,074",-,1990
1986,Hard to Kill,"$47,410,827","$47,410,827",-,1990
1987,Goodfellas,"$46,836,214","$46,836,214",-,1990
1988,RoboCop 2,"$45,681,173","$45,681,173",-,1990
1989,Pacific Heights,"$44,926,706","$29,381,956","$15,544,750",1990
1990,The Jungle Book 1990 Re-release,"$44,645,619","$44,645,619",-,1990
1991,Young Guns II,"$44,143,410","$44,143,410",-,1990
1992,Gremlins 2: The New Batch,"$41,482,207","$41,482,207",-,1990
1993,Joe Versus the Volcano,"$39,404,261","$39,404,261",-,1990
1994,Postcards from the Edge,"$39,071,603","$39,071,603",-,1990
1995,The Exorcist III,"$39,024,251","$26,098,824","$12,925,427",1990
1996,Child's Play 2,"$35,763,605","$28,501,605","$7,262,000",1990
1997,Mermaids,"$35,419,397","$35,419,397",-,1990
1998,Air America,"$33,461,269","$31,053,601","$2,407,668",1990
1999,Green Card,"$29,888,235","$29,888,235",-,1990
2000,The Rescuers Down Under,"$27,931,461","$27,931,461",-,1990
2001,Internal Affairs,"$27,734,391","$27,734,391",-,1990
2002,Cadillac Man,"$27,627,310","$27,627,310",-,1990
2003,Memphis Belle,"$27,441,977","$27,441,977",-,1990
2004,House Party,"$26,385,627","$26,385,627",-,1990
2005,Jacob's Ladder,"$26,118,851","$26,118,851",-,1990
2006,Ghost Dad,"$25,421,633","$24,707,633","$714,000",1990
2007,Fantasia 1990 Re-release,"$25,363,371","$25,363,371",-,1990
2008,Navy Seals,"$25,069,101","$25,069,101",-,1990
2009,Ernest Goes to Jail,"$25,029,569","$25,029,569",-,1990
2010,My Blue Heaven,"$23,591,472","$23,591,472",-,1990
2011,Henry & June,"$23,472,449","$11,567,449","$11,905,000",1990
2012,The Russia House,"$22,997,992","$22,997,992",-,1990
2013,The First Power,"$22,424,195","$22,424,195",-,1990
2014,The Rookie,"$21,633,874","$21,633,874",-,1990
2015,The Freshman,"$21,460,601","$21,460,601",-,1990
2016,The Adventures of Ford Fairlane,"$21,413,502","$21,413,502",-,1990
2017,Quigley Down Under,"$21,413,105","$21,413,105",-,1990
2018,Madhouse,"$21,036,771","$21,036,771",-,1990
2019,Hamlet,"$20,710,451","$20,710,451",-,1990
2020,Jetsons: The Movie,"$20,305,841","$20,305,841",-,1990
2021,Stella,"$20,240,128","$20,240,128",-,1990
2022,Taking Care of Business,"$20,005,435","$20,005,435",-,1990
2023,Betsy's Wedding,"$19,740,070","$19,740,070",-,1990
2024,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724","$18,115,724",-,1990
2025,Sibling Rivalry,"$17,854,933","$17,854,933",-,1990
2026,White Palace,"$17,487,531","$17,487,531",-,1990
2027,The Guardian,"$17,037,887","$17,037,887",-,1990
2028,Death Warrant,"$16,853,487","$16,853,487",-,1990
2029,Tremors,"$16,667,084","$16,667,084",-,1990
2030,Tales from the Darkside: The Movie,"$16,324,573","$16,324,573",-,1990
2031,Men at Work,"$16,247,964","$16,247,964",-,1990
2032,I Love You to Death,"$16,186,793","$16,186,793",-,1990
2033,Mo' Better Blues,"$16,153,593","$16,153,593",-,1990
2034,Avalon,"$15,740,796","$15,740,796",-,1990
2035,The Bonfire of the Vanities,"$15,691,192","$15,691,192",-,1990
2036,Revenge,"$15,645,616","$15,645,616",-,1990
2037,Reversal of Fortune,"$15,445,131","$15,445,131",-,1990
2038,Mr. Destiny,"$15,379,253","$15,379,253",-,1990
2039,Spaced Invaders,"$15,369,573","$15,369,573",-,1990
2040,Quick Change,"$15,260,154","$15,260,154",-,1990
2041,Fire Birds,"$14,760,451","$14,760,451",-,1990
2042,Wild at Heart,"$14,560,247","$14,560,247",-,1990
2043,Lord of the Flies,"$13,985,225","$13,985,225",-,1990
2044,The Grifters,"$13,446,769","$13,446,769",-,1990
2045,Crazy People,"$13,236,513","$13,236,513",-,1990
2046,Bad Influence,"$12,626,043","$12,626,043",-,1990
2047,Cinema Paradiso,"$11,990,401","$11,990,401",-,1990
2048,Graveyard Shift,"$11,582,891","$11,582,891",-,1990
2049,Pump Up the Volume,"$11,541,758","$11,541,758",-,1990
2050,Opportunity Knocks,"$11,359,129","$11,359,129",-,1990
2051,Q & A,"$11,207,891","$11,207,891",-,1990
2052,Wild Orchid,"$11,060,485","$11,060,485",-,1990
2053,Nuns on the Run,"$10,959,015","$10,959,015",-,1990
2054,Narrow Margin,"$10,873,237","$10,873,237",-,1990
2055,The Witches,"$10,360,553","$10,360,553",-,1990
2056,The Adventures of Milo and Otis 1990 Re-release,"$10,351,534","$10,351,534",-,1990
2057,The Two Jakes,"$10,005,969","$10,005,969",-,1990
2058,Miami Blues,"$9,888,167","$9,888,167",-,1990
2059,Havana,"$9,243,140","$9,243,140",-,1990
2060,Nightbreed,"$8,862,354","$8,862,354",-,1990
2061,Ski Patrol,"$8,533,973","$8,533,973",-,1990
2062,Cry-Baby,"$8,266,343","$8,266,343",-,1990
2063,Blue Steel,"$8,217,997","$8,217,997",-,1990
2064,Funny About Love,"$8,141,292","$8,141,292",-,1990
2065,"The Cook, the Thief, His Wife & Her Lover","$7,724,701","$7,724,701",-,1990
2066,Mr. & Mrs. Bridge,"$7,698,010","$7,698,010",-,1990
2067,Alice,"$7,331,647","$7,331,647",-,1990
2068,Almost an Angel,"$6,939,946","$6,939,946",-,1990
2069,Delta Force 2: The Colombian Connection,"$6,698,361","$6,698,361",-,1990
2070,Flashback,"$6,488,114","$6,488,114",-,1990
2071,The Gods Must Be Crazy II,"$6,291,444","$6,291,444",-,1990
2072,Men Don't Leave,"$6,070,725","$6,070,725",-,1990
2073,Night of the Living Dead,"$5,835,247","$5,835,247",-,1990
2074,Cyrano de Bergerac,"$5,820,020","$5,820,020",-,1990
2075,Stanley & Iris,"$5,820,015","$5,820,015",-,1990
2076,Leatherface: Texas Chainsaw Massacre III,"$5,765,562","$5,765,562",-,1990
2077,Hardware,"$5,728,953","$5,728,953",-,1990
2078,Loose Cannons,"$5,585,154","$5,585,154",-,1990
2079,Miller's Crossing,"$5,080,409","$5,080,409",-,1990
2080,The Handmaid's Tale,"$4,960,385","$4,960,385",-,1990
2081,The Long Walk Home,"$4,873,620","$4,873,620",-,1990
2082,Longtime Companion,"$4,609,953","$4,609,953",-,1990
2083,Graffiti Bridge,"$4,562,778","$4,562,778",-,1990
2084,Dark Angel,"$4,348,368","$4,348,368",-,1990
2085,Lisa,"$4,347,648","$4,347,648",-,1990
2086,Lambada,"$4,263,112","$4,263,112",-,1990
2087,China Cry: A True Story,"$4,212,828","$4,212,828",-,1990
2088,Heart Condition,"$4,134,992","$4,134,992",-,1990
2089,Tie Me Up! Tie Me Down!,"$4,087,361","$4,087,361",-,1990
2090,Mountains of the Moon,"$4,011,793","$4,011,793",-,1990
2091,Short Time,"$4,010,647","$4,010,647",-,1990
2092,"Welcome Home, Roxy Carmichael","$3,989,297","$3,989,297",-,1990
2093,The Lemon Sisters,"$3,473,905","$3,473,905",-,1990
2094,A Shock to the System,"$3,417,056","$3,417,056",-,1990
2095,Metropolitan,"$2,938,208","$2,938,208",-,1990
2096,Desperate Hours,"$2,742,912","$2,742,912",-,1990
2097,Blind Fury,"$2,692,037","$2,692,037",-,1990
2098,"After Dark, My Sweet","$2,678,414","$2,678,414",-,1990
2099,King of New York,"$2,554,476","$2,554,476",-,1990
2100,Impulse,"$2,544,504","$2,544,504",-,1990
2101,Class of 1999,"$2,459,895","$2,459,895",-,1990
2102,Body Chemistry,"$2,415,312","$2,415,312",-,1990
2103,Downtown,"$2,346,150","$2,346,150",-,1990
2104,White Hunter Black Heart,"$2,319,124","$2,319,124",-,1990
2105,The Nasty Girl,"$2,281,569","$2,281,569",-,1990
2106,Texasville,"$2,268,181","$2,268,181",-,1990
2107,Vincent & Theo,"$2,231,274","$2,231,274",-,1990
2108,Def by Temptation,"$2,218,579","$2,218,579",-,1990
2109,Eating,"$2,100,538","$2,100,538",-,1990
2110,The Sheltering Sky,"$2,075,084","$2,075,084",-,1990
2111,The Krays,"$2,060,847","$2,060,847",-,1990
2112,Dreams,"$1,963,207","$1,963,207",-,1990
2113,State of Grace,"$1,911,542","$1,911,542",-,1990
2114,The Forbidden Dance,"$1,823,154","$1,823,154",-,1990
2115,Tune in Tomorrow...,"$1,794,001","$1,794,001",-,1990
2116,The Nutcracker Prince,"$1,781,694","$1,781,694",-,1990
2117,Too Beautiful for You,"$1,776,440","$1,776,440",-,1990
2118,Last Exit to Brooklyn,"$1,730,005","$1,730,005",-,1990
2119,The Rain Killer,"$1,696,066","$1,696,066",-,1990
2120,Brain Dead,"$1,627,955","$1,627,955",-,1990
2121,Jesus of Montreal,"$1,601,612","$1,601,612",-,1990
2122,May Fools,"$1,576,702","$1,576,702",-,1990
2123,The Haunting of Morella,"$1,547,867","$1,547,867",-,1990
2124,The Last of the Finest,"$1,531,489","$1,531,489",-,1990
2125,Streets,"$1,510,053","$1,510,053",-,1990
2126,A Cry in the Wild,"$1,494,969","$1,494,969",-,1990
2127,The Field,"$1,494,399","$1,494,399",-,1990
2128,Love at Large,"$1,436,308","$1,436,308",-,1990
2129,Monsieur Hire,"$1,417,030","$1,417,030",-,1990
2130,Courage Mountain,"$1,393,610","$1,393,610",-,1990
2131,Repossessed,"$1,382,462","$1,382,462",-,1990
2132,Daddy's Dyin'... Who's Got the Will?,"$1,373,728","$1,373,728",-,1990
2133,Everybody Wins,"$1,372,350","$1,372,350",-,1990
2134,The Fourth War,"$1,305,887","$1,305,887",-,1990
2135,The Hot Spot,"$1,293,976","$1,293,976",-,1990
2136,Bloodfist II,"$1,292,323","$1,292,323",-,1990
2137,This Is Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,"$1,289,551","$1,289,551",-,1990
2138,Robot Jox,"$1,272,977","$1,272,977",-,1990
2139,Slumber Party Massacre III,"$1,242,995","$1,242,995",-,1990
2140,The Icicle Thief,"$1,231,622","$1,231,622",-,1990
2141,Vital Signs,"$1,224,605","$1,224,605",-,1990
2142,Without You I'm Nothing,"$1,218,730","$1,218,730",-,1990
2143,The Boyfriend School,"$1,171,762","$1,171,762",-,1990
2144,To Sleep with Anger,"$1,161,135","$1,161,135",-,1990
2145,Where the Heart Is,"$1,106,475","$1,106,475",-,1990
2146,Hidden Agenda,"$1,030,938","$1,030,938",-,1990
2147,Corporate Affairs,"$1,006,575","$1,006,575",-,1990
2148,Come See the Paradise,"$947,306","$947,306",-,1990
2149,Sweetie,"$938,065","$938,065",-,1990
2150,The Blood of Heroes,"$882,290","$882,290",-,1990
2151,Angel Town,"$855,810","$855,810",-,1990
2152,Waiting for the Light,"$808,690","$808,690",-,1990
2153,C'est la vie,"$805,472","$805,472",-,1990
2154,Listen Up: The Lives of Quincy Jones,"$776,699","$776,699",-,1990
2155,22nd Annual International Tournée of Animation,"$768,304","$768,304",-,1990
2156,Strapless,"$764,794","$764,794",-,1990
2157,Coupe de Ville,"$715,983","$715,983",-,1990
2158,The Return of Superfly,"$610,402","$610,402",-,1990
2159,Henry: Portrait of a Serial Killer,"$609,939","$609,939",-,1990
2160,Rosalie Goes Shopping,"$574,080","$574,080",-,1990
2161,Strike It Rich,"$541,626","$541,626",-,1990
2162,The Tall Guy,"$510,712","$510,712",-,1990
2163,Roger Corman's Frankenstein Unbound,"$334,748","$334,748",-,1990
2164,Chattahoochee,"$259,486","$259,486",-,1990
2165,Pathfinder,"$242,994","$10,628","$232,366",1990
2166,Frankenhooker,"$205,068","$205,068",-,1990
2167,Martians Go Home,"$129,778","$129,778",-,1990
2168,Torrents of Spring,"$111,747","$111,747",-,1990
2169,A Man Called Sarge,"$92,706","$92,706",-,1990
2170,A Show of Force,"$91,578","$91,578",-,1990
2171,Chicago Joe and the Showgirl,"$85,395","$85,395",-,1990
2172,Why Me?,"$83,882","$83,882",-,1990
2173,Fools of Fortune,"$83,490","$83,490",-,1990
2174,Speaking Parts,"$76,609","$76,609",-,1990
2175,Happy Together,"$70,912","$70,912",-,1990
2176,The Spirit of '76,"$52,310","$52,310",-,1990
2177,Spontaneous Combustion,"$50,367","$50,367",-,1990
2178,Twister,"$33,455","$33,455",-,1990
2179,Red Surf,"$13,136","$13,136",-,1990
2180,Diamond's Edge,"$12,751","$12,751",-,1990
2181,The Feud,"$3,102","$3,102",-,1990
2182,Terminator 2: Judgment Day,"$516,950,043","$204,843,345","$312,106,698",1991
2183,Robin Hood: Prince of Thieves,"$390,493,908","$165,493,908","$225,000,000",1991
2184,Beauty and the Beast,"$331,907,151","$145,863,363","$186,043,788",1991
2185,Hook,"$300,854,823","$119,654,823","$181,200,000",1991
2186,The Silence of the Lambs,"$272,742,922","$130,742,922","$142,000,000",1991
2187,JFK,"$205,405,498","$70,405,498","$135,000,000",1991
2188,The Addams Family,"$191,502,426","$113,502,426","$78,000,000",1991
2189,Cape Fear,"$182,291,969","$79,091,969","$103,200,000",1991
2190,Hot Shots!,"$181,096,164","$69,467,617","$111,628,547",1991
2191,City Slickers,"$179,033,791","$124,033,791","$55,000,000",1991
2192,Sleeping with the Enemy,"$174,999,005","$101,599,005","$73,400,000",1991
2193,Backdraft,"$152,368,585","$77,868,585","$74,500,000",1991
2194,Fried Green Tomatoes,"$119,418,501","$82,418,501","$37,000,000",1991
2195,Star Trek VI: The Undiscovered Country,"$96,888,996","$74,888,996","$22,000,000",1991
2196,Father of the Bride,"$89,325,780","$89,325,780",-,1991
2197,The Naked Gun 2½: The Smell of Fear,"$86,930,411","$86,930,411",-,1991
2198,Point Break,"$83,531,958","$43,218,387","$40,313,571",1991
2199,Dying Young,"$82,264,675","$33,669,178","$48,595,497",1991
2200,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813","$78,656,813",-,1991
2201,The Prince of Tides,"$74,787,599","$74,787,599",-,1991
2202,The Hard Way,"$65,595,485","$25,895,485","$39,700,000",1991
2203,What About Bob?,"$63,707,829","$63,707,829",-,1991
2204,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285","$60,830,285",-,1991
2205,The Last Boy Scout,"$59,509,925","$59,509,925",-,1991
2206,My Girl,"$59,489,799","$59,489,799",-,1991
2207,Boyz n the Hood,"$57,504,069","$57,504,069",-,1991
2208,Doc Hollywood,"$54,830,779","$54,830,779",-,1991
2209,King Ralph,"$52,487,045","$34,002,045","$18,485,000",1991
2210,Bugsy,"$49,114,016","$49,114,016",-,1991
2211,New Jack City,"$47,624,353","$47,624,353",-,1991
2212,The Rocketeer,"$46,704,056","$46,704,056",-,1991
2213,Thelma & Louise,"$45,360,915","$45,360,915",-,1991
2214,Jungle Fever,"$43,882,682","$32,482,682","$11,400,000",1991
2215,Regarding Henry,"$43,001,500","$43,001,500",-,1991
2216,The Fisher King,"$41,895,491","$41,895,491",-,1991
2217,Grand Canyon,"$40,991,329","$33,243,020","$7,748,309",1991
2218,An American Tail: Fievel Goes West,"$40,766,041","$22,166,041","$18,600,000",1991
2219,Out for Justice,"$39,673,161","$39,673,161",-,1991
2220,The Doctor,"$38,120,905","$38,120,905",-,1991
2221,Bill & Ted's Bogus Journey,"$38,037,513","$38,037,513",-,1991
2222,Dead Again,"$38,016,380","$38,016,380",-,1991
2223,Soapdish,"$36,489,888","$36,489,888",-,1991
2224,Freddy's Dead: The Final Nightmare,"$34,872,033","$34,872,033",-,1991
2225,White Fang,"$34,793,160","$34,793,160",-,1991
2226,The Doors,"$34,416,893","$34,416,893",-,1991
2227,Curly Sue,"$33,691,313","$33,691,313",-,1991
2228,Problem Child 2,"$32,704,700","$25,104,700","$7,600,000",1991
2229,The People Under the Stairs,"$31,347,154","$24,204,154","$7,143,000",1991
2230,Double Impact,"$30,102,717","$30,102,717",-,1991
2231,Madonna: Truth or Dare,"$29,012,935","$15,012,935","$14,000,000",1991
2232,L.A. Story,"$28,862,081","$28,862,081",-,1991
2233,Deceived,"$28,738,096","$28,738,096",-,1991
2234,Class Action,"$28,277,918","$24,277,858","$4,000,060",1991
2235,Necessary Roughness,"$26,255,594","$26,255,594",-,1991
2236,Other People's Money,"$25,682,090","$25,682,090",-,1991
2237,Don't Tell Mom the Babysitter's Dead,"$25,196,249","$25,196,249",-,1991
2238,Only the Lonely,"$25,092,802","$21,830,957","$3,261,845",1991
2239,Little Man Tate,"$25,010,896","$25,010,896",-,1991
2240,Pure Luck,"$24,941,969","$22,641,969","$2,300,000",1991
2241,Lionheart,"$24,271,196","$24,078,196","$193,000",1991
2242,Oscar,"$23,562,716","$23,562,716",-,1991
2243,For the Boys,"$23,202,444","$17,860,280","$5,342,164",1991
2244,Frankie and Johnny,"$22,773,535","$22,773,535",-,1991
2245,Ricochet,"$21,756,163","$21,756,163",-,1991
2246,F/X2,"$21,082,165","$21,082,165",-,1991
2247,Child's Play 3,"$20,560,255","$14,960,255","$5,600,000",1991
2248,Mobsters,"$20,246,790","$20,246,790",-,1991
2249,House Party 2,"$19,438,638","$19,438,638",-,1991
2250,Mortal Thoughts,"$18,784,957","$18,784,957",-,1991
2251,Paradise,"$18,634,643","$18,634,643",-,1991
2252,The NeverEnding Story II: The Next Chapter,"$17,373,527","$17,373,527",-,1991
2253,Hudson Hawk,"$17,218,080","$17,218,080",-,1991
2254,Defending Your Life,"$16,371,128","$16,371,128",-,1991
2255,Billy Bathgate,"$15,565,363","$15,565,363",-,1991
2256,Highlander II: The Quickening,"$15,556,340","$15,556,340",-,1991
2257,Switch,"$15,545,943","$15,545,943",-,1991
2258,A Kiss Before Dying,"$15,429,177","$15,429,177",-,1991
2259,Shipwrecked,"$15,104,156","$15,104,156",-,1991
2260,Toy Soldiers,"$15,073,942","$15,073,942",-,1991
2261,The Commitments,"$14,919,570","$14,919,570",-,1991
2262,Once Around,"$14,851,083","$14,851,083",-,1991
2263,All I Want for Christmas,"$14,812,144","$14,812,144",-,1991
2264,Not Without My Daughter,"$14,789,113","$14,789,113",-,1991
2265,Flight of the Intruder,"$14,587,732","$14,587,732",-,1991
2266,Ernest Scared Stupid,"$14,143,280","$14,143,280",-,1991
2267,The Perfect Weapon,"$14,061,361","$14,061,361",-,1991
2268,Drop Dead Fred,"$13,878,334","$13,878,334",-,1991
2269,The Marrying Man,"$12,454,768","$12,454,768",-,1991
2270,Shattered,"$11,511,031","$11,511,031",-,1991
2271,Career Opportunities,"$11,336,986","$11,336,986",-,1991
2272,One Good Cop,"$11,276,846","$11,276,846",-,1991
2273,V.I. Warshawski,"$11,128,309","$11,128,309",-,1991
2274,The Super,"$11,000,863","$11,000,863",-,1991
2275,A Rage in Harlem,"$10,438,504","$10,438,504",-,1991
2276,"He Said, She Said","$9,804,775","$9,804,775",-,1991
2277,The Butcher's Wife,"$9,689,816","$9,689,816",-,1991
2278,Scenes from a Mall,"$9,563,393","$9,563,393",-,1991
2279,Guilty by Suspicion,"$9,480,198","$9,480,198",-,1991
2280,Body Parts,"$9,188,150","$9,188,150",-,1991
2281,Stone Cold,"$9,151,887","$9,151,887",-,1991
2282,Warlock,"$9,094,451","$9,094,451",-,1991
2283,Late for Dinner,"$8,906,823","$8,906,823",-,1991
2284,The Five Heartbeats,"$8,750,400","$8,750,400",-,1991
2285,Bingo,"$8,667,684","$8,667,684",-,1991
2286,Nothing But Trouble,"$8,479,793","$8,479,793",-,1991
2287,Black Robe,"$8,211,952","$8,211,952",-,1991
2288,If Looks Could Kill,"$7,788,597","$7,788,597",-,1991
2289,Strictly Business,"$7,683,267","$7,683,267",-,1991
2290,Harley Davidson and the Marlboro Man,"$7,434,726","$7,434,726",-,1991
2291,Wild Hearts Can't Be Broken,"$7,294,835","$7,294,835",-,1991
2292,Rush,"$7,241,350","$7,241,350",-,1991
2293,Suburban Commando,"$6,948,859","$6,948,859",-,1991
2294,Defenseless,"$6,413,375","$6,413,375",-,1991
2295,My Own Private Idaho,"$6,401,336","$6,401,336",-,1991
2296,Rambling Rose,"$6,266,621","$6,266,621",-,1991
2297,Mystery Date,"$6,166,819","$6,166,819",-,1991
2298,Barton Fink,"$6,153,939","$6,153,939",-,1991
2299,Europa Europa,"$5,575,738","$5,575,738",-,1991
2300,Delirious,"$5,546,827","$5,546,827",-,1991
2301,Livin' Large!,"$5,467,959","$5,467,959",-,1991
2302,Eve of Destruction,"$5,451,119","$5,451,119",-,1991
2303,The Object of Beauty,"$5,136,759","$5,136,759",-,1991
2304,La Femme Nikita,"$5,017,971","$5,017,971",-,1991
2305,True Identity,"$4,693,236","$4,693,236",-,1991
2306,The Hitman,"$4,654,288","$4,654,288",-,1991
2307,Dutch,"$4,603,929","$4,603,929",-,1991
2308,Run,"$4,409,328","$4,409,328",-,1991
2309,Hear My Song,"$4,313,473","$4,313,473",-,1991
2310,Popcorn,"$4,205,000","$4,205,000",-,1991
2311,Life Stinks,"$4,102,526","$4,102,526",-,1991
2312,Impromptu,"$4,076,211","$4,076,211",-,1991
2313,Paris Is Burning,"$3,779,620","$3,779,620",-,1991
2314,Mannequin: On the Move,"$3,752,428","$3,752,428",-,1991
2315,My Heroes Have Always Been Cowboys,"$3,603,615","$3,603,615",-,1991
2316,Shout,"$3,547,684","$3,547,684",-,1991
2317,Homicide,"$2,971,661","$2,971,661",-,1991
2318,Another You,"$2,865,916","$2,865,916",-,1991
